OTU_ID,TaxonPath
41ad6cf43e8ece9483d683dadce4e8a4,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
d8c22114c6f55c0dbfbd01320b4fe908,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
9d8e0e6237311c6daaa2ffda4d5444c7,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
e8a3135325f07de9f23636a1e2e65b1c,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
bf86b88bdf6fa80250e569cab029a06d,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
3949776aaba2c053ab33bb48d7f7af64,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
c5bb4c51297a684ad2bc9af4cea0c48e,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
69ca4c6d4f8a8ca89787ca92ea06d900,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
17751cad44b8b2f7e5e20d11962f5b43,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
a64ccff95156eb72ef857291518145c5,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
8e84a0d52381f24aade808f106e83f5a,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
415c312f2bc57960390f28262d1477cc,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
d2db7ed998479b6a853e1fda9c4e6b2e,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
b653a100be3c00047fa58b3ba10ab252,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
f9d7f68f26579131356b17754102e077,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Thalassoma;s__Thalassoma pavo;
0a87108de0fad018d03ad8d7b47f0052,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trachinidae;g__Trachinus;s__Trachinus draco;
a899d0235633c201c4f7662a08e5176c,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trachinidae;g__Trachinus;s__Trachinus draco;
05c283dd3112321b535ae383dcb44a46,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Tetraodontiformes;f__Ostraciidae;g__Ostracion;
2a989475cc1be7e58fee69ed5827cd47,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Tetraodontiformes;f__Ostraciidae;g__Ostracion;
c9e57215010ccde614ef3b98eaece90a,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Gobius;s__Gobius paganellus;
ebd421164ccf98c721c3b352b7581f51,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Gobius;s__Gobius paganellus;
a25f57687589af2f31ee44b7d0653191,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Gobius;s__Gobius paganellus;
2cfeaae34433a38befe6c096cee8ab00,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Blenniidae;g__Ophioblennius;
b32fe5a9f422ed7b2fbf5c1abe67e708,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Oreochromis;
