Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
S,236,125,*,*,*,*,*,2309c0993a0a8db043e10eb0b78d0c6a,*
S,237,58,*,*,*,*,*,23101f768c47e51faf90d38599cfd331,*
S,238,61,*,*,*,*,*,2323f2ebdf27fbcf134aabeeaf69c520,*
S,239,93,*,*,*,*,*,232f233f5db28fca6994c1ad32bd8b42,*
S,240,124,*,*,*,*,*,2346d82f3a9bfb7fe602b936fd33b3c9,*
S,241,87,*,*,*,*,*,235c2fc2244bab7856f7666991057a73,*
S,242,53,*,*,*,*,*,236da914ff02a47c28a8ae83bb824706,*
S,243,125,*,*,*,*,*,2379e944c33e1a3825c52f7eac9057a2,*
S,244,111,*,*,*,*,*,2380dac3891316d7661743b63907ae34,*
H,201,125,99.2,+,0,0,D124MI,2388adb80135b60fbef6c68b702dab6e,1d40faaf1fd70b00dc3e4d05cdd3d423
H,149,125,100,+,0,0,D124MI,23f9910075d418cc9d211a899ba5c375,13867a85875bfb84645534b2b580feb6
S,245,125,*,*,*,*,*,242459c8a24a8db0d5932bb4aff77dce,*
S,246,125,*,*,*,*,*,24503d7332e3ab84b88c0904b0f472e2,*
S,247,125,*,*,*,*,*,24537deb8852207aee8c6e22f5c82816,*
H,5,125,97.6,+,0,0,125M,249d3b2864c63455cd29749394d32b5d,00804b6e5f04de12bea9e3b686b4201a
S,248,125,*,*,*,*,*,24a8d0afcc0f3aa59e11690551fcff08,*
S,249,49,*,*,*,*,*,2504ea7124d70d9b6fe12396d0d8d611,*
S,250,125,*,*,*,*,*,250f66e2a1b82d9d1b0dc5e9ebd20d92,*
S,251,125,*,*,*,*,*,25384c1fbce0b5a22fc02b65c4a41ac6,*
S,252,39,*,*,*,*,*,259806e77e3d1ce609f9be9a9c90b832,*
S,253,53,*,*,*,*,*,25a88f17bd28f0c27a5bf2013d79abf3,*
S,254,125,*,*,*,*,*,25f8e0ddfe90f27f591e10bb32cbb969,*
S,255,125,*,*,*,*,*,25fefef04475e8b7852f4ccccd90b628,*
H,154,32,100,+,0,0,32M23I,26127af8f529d2a5235105120b4b93f7,13e65a25d0a8d14f5cc13f12b3f972b4
H,136,53,100,+,0,0,53M72I,2620a31d7d735c0744c4a55e3ed5df6d,11db735d7ecc6435601bcea1e00487f3
H,219,125,97.6,+,0,0,125M,2631f442ff3a009b9e45768d313c12e7,1ffe49f4932b8c78bda416ad1ea0b85e
H,122,125,99.2,+,0,0,125M,2655f46f85ef27530d85f4a1e84f4572,0ff949f39a056f7bdebb2c7466278ded
H,161,125,97.6,+,0,0,125M,26a1e3c9e9c1e86eda78658f7edba22e,14f114d5cdb914725fba1a30871eebb3
S,256,125,*,*,*,*,*,26c392f907c94119aa3466ec2ed52497,*
H,140,85,100,+,0,0,85M40I,271d5e51b4e6d66b85a8320676366153,12be76d542db6f354ac927be0547d280
S,257,124,*,*,*,*,*,2745e2c78cea813ea55cc7e035f34020,*
S,258,125,*,*,*,*,*,2780b714d969716a089d2b4f34e07e3e,*
H,16,125,98.4,+,0,0,125M,27ae9fd5b78caa23cf9258d85a331a9b,01955224fb6a90a09007cb1c79bd6ccb
S,259,125,*,*,*,*,*,27c6f23992f594f280669602499d2569,*
S,260,40,*,*,*,*,*,27e58dd78fc185fbb4a55a9b1e2d6cf1,*
